# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
thiQ	NC_000913.3	72229	72927	-	699	406	253	180
thiP	NC_000913.3	72911	74521	-	1611	737	385	115
thiB	NC_000913.3	74497	75480	-	984	589	248	120
sroA	NC_000913.3	75516	75608	-	93	37	16	16
sgrR	NC_000913.3	75644	77299	-	1656	863	419	329
sgrS	NC_000913.3	77367	77593	+	227	18	19	3
sgrT	NC_000913.3	77388	77519	+	132	0	0	0
setA	NC_000913.3	77621	78799	+	1179	676	488	171
leuD	NC_000913.3	78848	79453	-	606	629	1598	179
leuC	NC_000913.3	79464	80864	-	1401	1594	4123	414
leuB	NC_000913.3	80867	81958	-	1092	1693	3320	384
leuA	NC_000913.3	81958	83529	-	1572	1765	3242	398
leuL	NC_000913.3	83622	83708	-	87	65	21	4
leuO	NC_000913.3	84368	85312	+	945	230	191	90
yabR	NC_000913.3	85467	85511	-	45	7	1	3
ilvI	NC_000913.3	85630	87354	+	1725	1613	1300	521
ilvH	NC_000913.3	87357	87848	+	492	553	355	167
cra	NC_000913.3	88028	89032	+	1005	1041	1039	458
mraZ	NC_000913.3	89634	90092	+	459	2023	2233	745
rsmH	NC_000913.3	90094	91035	+	942	3389	3507	1125
ftsL	NC_000913.3	91032	91397	+	366	977	1013	369
ftsI	NC_000913.3	91413	93179	+	1767	1838	2313	857
ftsO	NC_000913.3	92485	92658	+	174	0	0	0
murE	NC_000913.3	93166	94653	+	1488	1314	1707	787
murF	NC_000913.3	94650	96008	+	1359	920	1194	647
mraY	NC_000913.3	96002	97084	+	1083	749	906	465
murD	NC_000913.3	97087	98403	+	1317	780	886	553
ftsW	NC_000913.3	98403	99647	+	1245	677	705	449
murG	NC_000913.3	99644	100711	+	1068	824	756	639
murC	NC_000913.3	100765	102240	+	1476	907	936	832
ddlB	NC_000913.3	102233	103153	+	921	953	940	694
ftsQ	NC_000913.3	103155	103985	+	831	1063	924	600
ftsA	NC_000913.3	103982	105244	+	1263	1423	1657	1067
ftsZ	NC_000913.3	105305	106456	+	1152	3363	4682	2472
lpxC	NC_000913.3	106557	107474	+	918	13433	16582	55236
secM	NC_000913.3	107705	108217	+	513	799	965	847
secA	NC_000913.3	108279	110984	+	2706	4957	6501	4139
mutT	NC_000913.3	111044	111433	+	390	402	295	85
yacG	NC_000913.3	111649	111846	-	198	360	254	163
zapD	NC_000913.3	111856	112599	-	744	853	674	227
coaE	NC_000913.3	112599	113219	-	621	729	603	215
yacM	NC_000913.3	113244	113288	+	45	14	9	3
guaC	NC_000913.3	113444	114487	+	1044	508	254	263
hofC	NC_000913.3	114522	115724	-	1203	465	223	132
hofB	NC_000913.3	115714	117099	-	1386	391	189	341
ppdD	NC_000913.3	117109	117549	-	441	268	106	18
nadC	NC_000913.3	117752	118645	-	894	606	342	194
ampD	NC_000913.3	118733	119284	+	552	416	426	143
ampE	NC_000913.3	119281	120135	+	855	681	742	207
aroP	NC_000913.3	120178	121551	-	1374	831	675	626
pdhR	NC_000913.3	122092	122856	+	765	392	260	394
aceE	NC_000913.3	123017	125680	+	2664	5246	5426	5396
aceF	NC_000913.3	125695	127587	+	1893	3036	3698	3721
lpd	NC_000913.3	127912	129336	+	1425	2378	2277	6228
yacH	NC_000913.3	129407	131260	-	1854	930	455	195
acnB	NC_000913.3	131615	134212	+	2598	6224	6719	11482
yacL	NC_000913.3	134388	134750	+	363	980	1133	199
speD	NC_000913.3	134788	135582	-	795	459	308	360
speE	NC_000913.3	135598	136464	-	867	389	296	468
yacC	NC_000913.3	136570	136917	-	348	230	167	219
cueO	NC_000913.3	137083	138633	+	1551	1175	1121	404
gcd	NC_000913.3	138835	141225	-	2391	2251	3187	1939
hpt	NC_000913.3	141431	141967	+	537	368	321	411
can	NC_000913.3	142008	142670	-	663	685	528	2457
yadG	NC_000913.3	142779	143705	+	927	1126	900	311
yadH	NC_000913.3	143702	144472	+	771	799	783	359
yadI	NC_000913.3	144577	145017	+	441	336	291	116
yadE	NC_000913.3	145081	146310	+	1230	556	321	222
panD	NC_000913.3	146314	146694	-	381	2703	1278	298
rpnC	NC_000913.3	146968	147870	+	903	508	221	124
panC	NC_000913.3	147944	148795	-	852	1034	702	875
panB	NC_000913.3	148807	149601	-	795	551	415	504
yadC	NC_000913.3	149715	150953	-	1239	260	161	38
yadK	NC_000913.3	151003	151599	-	597	78	55	10
yadL	NC_000913.3	151626	152231	-	606	155	110	16
yadM	NC_000913.3	152243	152812	-	570	73	44	15
htrE	NC_000913.3	152829	155426	-	2598	446	268	80
yadV	NC_000913.3	155461	156201	-	741	137	77	15
yadN	NC_000913.3	156299	156883	-	585	76	44	8
folK	NC_000913.3	157253	157732	-	480	112	62	49
pcnB	NC_000913.3	157729	159126	-	1398	872	916	732
gluQ	NC_000913.3	159186	160112	-	927	529	798	250
dksA	NC_000913.3	160149	160604	-	456	22209	28543	776
sfsA	NC_000913.3	160782	161486	-	705	11193	16652	221
thpR	NC_000913.3	161501	162031	-	531	418	161	94
hrpB	NC_000913.3	162105	164534	+	2430	1231	697	651
mrcB	NC_000913.3	164730	167264	+	2535	1257	904	1064
fhuA	NC_000913.3	167484	169727	+	2244	841	597	3204
fhuC	NC_000913.3	169778	170575	+	798	356	199	452
fhuD	NC_000913.3	170575	171465	+	891	281	154	212
fhuB	NC_000913.3	171462	173444	+	1983	1041	541	396
hemL	NC_000913.3	173602	174882	-	1281	1388	1417	1025
yadX	NC_000913.3	175048	175095	+	48	130	124	59
clcA	NC_000913.3	175107	176528	+	1422	1133	1032	605
yadW	NC_000913.3	176552	176617	+	66	15	25	15
erpA	NC_000913.3	176610	176954	+	345	1752	1271	1179
yadS	NC_000913.3	177001	177624	-	624	312	175	130
btuF	NC_000913.3	177662	178462	-	801	420	154	104
mtn	NC_000913.3	178455	179153	-	699	781	557	563
dgt	NC_000913.3	179237	180754	+	1518	933	662	172
degP	NC_000913.3	180884	182308	+	1425	2663	3408	784
cdaR	NC_000913.3	182463	183620	+	1158	548	294	69
yaeH	NC_000913.3	183709	184095	-	387	2424	3287	255
yaeI	NC_000913.3	184257	185069	-	813	403	215	197
dapD	NC_000913.3	185123	185947	-	825	1573	1652	1416
glnD	NC_000913.3	185978	188650	-	2673	1966	1386	3119
map	NC_000913.3	188712	189506	-	795	1582	1242	1186
tff	NC_000913.3	189712	189847	+	136	248	500	221
rpsB	NC_000913.3	189874	190599	+	726	3210	5473	8402
tsf	NC_000913.3	190857	191708	+	852	2301	3234	3511
pyrH	NC_000913.3	191855	192580	+	726	615	506	581
frr	NC_000913.3	192872	193429	+	558	4878	4418	1300
dxr	NC_000913.3	193521	194717	+	1197	1472	1232	864
ispZ	NC_000913.3	194784	194844	+	61	55	44	15
ispU	NC_000913.3	194903	195664	+	762	889	859	380
cdsA	NC_000913.3	195677	196534	+	858	884	1031	376
rseP	NC_000913.3	196546	197898	+	1353	1528	1890	1057
bamA	NC_000913.3	197928	200360	+	2433	4575	6693	3408
skp	NC_000913.3	200482	200967	+	486	3567	4178	2954
lpxD	NC_000913.3	200971	201996	+	1026	4087	4426	3618
fabZ	NC_000913.3	202101	202556	+	456	1269	1564	1051
lpxA	NC_000913.3	202560	203348	+	789	1324	1622	1545
lpxB	NC_000913.3	203348	204496	+	1149	678	587	1247
rnhB	NC_000913.3	204493	205089	+	597	374	217	313
dnaE	NC_000913.3	205126	208608	+	3483	2128	1628	1961
accA	NC_000913.3	208621	209580	+	960	1408	1081	759
ldcC	NC_000913.3	209679	211820	+	2142	1851	1626	487
yaeR	NC_000913.3	211877	212266	+	390	455	356	147
tilS	NC_000913.3	212331	213629	+	1299	620	400	433
rof	NC_000913.3	213678	213932	-	255	863	761	466
yaeP	NC_000913.3	213925	214125	-	201	898	760	350
yaeQ	NC_000913.3	214291	214836	+	546	397	287	280
arfB	NC_000913.3	214833	215255	+	423	212	144	209
nlpE	NC_000913.3	215269	215979	+	711	932	923	842
yaeF	NC_000913.3	216179	217003	-	825	346	197	179
proS	NC_000913.3	217057	218775	-	1719	1957	1796	1182
trmO	NC_000913.3	218887	219594	-	708	411	212	129
rcsF	NC_000913.3	219591	219995	-	405	153	94	199
metQ	NC_000913.3	220113	220928	-	816	618	577	2507
metI	NC_000913.3	220968	221621	-	654	361	201	1880
metN	NC_000913.3	221614	222645	-	1032	419	216	3395
gmhB	NC_000913.3	222833	223408	+	576	615	400	284
rrsH	NC_000913.3	223771	225312	+	1542	1253	924	508
ileV	NC_000913.3	225381	225457	+	77	66	37	9
alaV	NC_000913.3	225500	225575	+	76	11	6	234
rrlH	NC_000913.3	225759	228662	+	2904	2882	2253	1206
rrfH	NC_000913.3	228756	228875	+	120	35	25	5
aspU	NC_000913.3	228928	229004	+	77	37	20	2
dkgB	NC_000913.3	229167	229970	+	804	293	170	66
yafC	NC_000913.3	229967	230881	-	915	538	334	286
yafD	NC_000913.3	231122	231922	+	801	1809	1830	2768
yafE	NC_000913.3	231926	232549	+	624	348	352	970
mltD	NC_000913.3	232597	233955	-	1359	703	555	378
gloB	NC_000913.3	234027	234782	-	756	350	371	136
ykfO	NC_000913.3	234288	234320	+	33	0	0	0
yafS	NC_000913.3	234816	235538	+	723	407	270	155
rnhA	NC_000913.3	235535	236002	-	468	229	182	103
dnaQ	NC_000913.3	236067	236798	+	732	683	566	297
aspV	NC_000913.3	236931	237007	+	77	18	23	1
yafT	NC_000913.3	237335	238120	+	786	205	147	21
ykfM	NC_000913.3	238257	238736	-	480	36	22	10
yafU	NC_000913.3	238746	239084	-	339	52	27	7
yafF	NC_000913.3	239190	239378	+	189	101	72	50
yafV	NC_000913.3	239419	240189	-	771	574	600	395
ivy	NC_000913.3	240343	240816	+	474	517	417	242
fadE	NC_000913.3	240859	243303	-	2445	12150	23313	307
gmhA	NC_000913.3	243543	244121	+	579	964	666	457
yafJ	NC_000913.3	244327	245094	+	768	641	388	593
dpaA	NC_000913.3	245065	245805	-	741	1034	1093	1325
yafQ	NC_000913.3	245961	246239	-	279	305	307	454
dinJ	NC_000913.3	246242	246502	-	261	6359	6213	841
yafL	NC_000913.3	246712	247461	+	750	387	249	74
rayT	NC_000913.3	247637	248134	+	498	342	203	78
lfhA	NC_000913.3	248358	250070	-	1713	852	457	138
lafU	NC_000913.3	250072	250827	+	756	396	210	40
dinB	NC_000913.3	250898	251953	+	1056	852	770	353
yafN	NC_000913.3	252005	252298	+	294	507	484	102
yafO	NC_000913.3	252301	252699	+	399	314	220	62
yafP	NC_000913.3	252709	253161	+	453	317	213	48
ykfJ	NC_000913.3	253467	253733	+	267	133	63	15
prfH	NC_000913.3	253702	254202	+	501	160	82	41
pepD	NC_000913.3	254259	255716	-	1458	1988	1762	1813
gpt	NC_000913.3	255977	256435	+	459	248	175	69
frsA	NC_000913.3	256527	257771	+	1245	738	507	660
crl	NC_000913.3	257829	259006	+	1178	1538	1263	344
insB9	NC_000913.3	257923	258426	-	504	0	0	0
insA9	NC_000913.3	258345	258620	-	276	0	0	0
phoE	NC_000913.3	259045	260100	-	1056	325	170	46
proB	NC_000913.3	260388	261491	+	1104	979	1023	1232
proA	NC_000913.3	261503	262756	+	1254	2275	2070	1325
thrW	NC_000913.3	262871	262946	+	76	107	74	72
ykfN	NC_000913.3	263150	263212	-	63	15	11	24
ykfI	NC_000913.3	263328	263669	-	342	186	106	84
yafW	NC_000913.3	263690	264007	-	318	246	139	57
ykfH	NC_000913.3	264026	264247	-	222	94	40	24
ykfG	NC_000913.3	264256	264732	-	477	231	131	70
yafX	NC_000913.3	264748	265206	-	459	292	151	82
ykfF	NC_000913.3	265304	265543	-	240	210	117	34
ykfB	NC_000913.3	265620	266087	-	468	998	1409	366
yafY	NC_000913.3	266110	266553	-	444	196	103	42
ykfL	NC_000913.3	266553	266774	-	222	120	48	12
ykfK	NC_000913.3	266776	266967	-	192	77	44	19
yafZ	NC_000913.3	267184	268005	-	822	584	316	167
ykfA	NC_000913.3	268097	268960	-	864	855	776	186
perR	NC_000913.3	269289	270182	-	894	469	287	149
insN	NC_000913.3	270278	272190	+	1913	458	322	362
insI1	NC_000913.3	270603	271754	+	1152	0	0	0
eyeA	NC_000913.3	272580	272654	+	75	124	80	172
ykfC	NC_000913.3	272847	273992	+	1146	911	487	471
insH1	NC_000913.3	274101	275081	-	981	1985	1564	519
mmuP	NC_000913.3	275325	276728	+	1404	826	400	1793
mmuM	NC_000913.3	276715	277647	+	933	1181	1230	1440
afuC	NC_000913.3	277756	278802	-	1047	474	236	316
afuB	NC_000913.3	278814	279162	-	349	236	96	96
insB2	NC_000913.3	279178	279681	-	504	295	178	234
insA2	NC_000913.3	279600	279875	-	276	99	55	63
insI2	NC_000913.3;NC_000913.3	279931;1469358	280104;1470509	+;+	1326	46	26	30
insX	NC_000913.3	280114	280362	-	249	88	57	87
yagB	NC_000913.3	280385	280735	-	351	109	94	50
yagA	NC_000913.3	280829	281983	-	1155	520	302	112
yagE	NC_000913.3	282278	283186	+	909	611	440	104
yagF	NC_000913.3	283201	285168	+	1968	2168	1423	356
yagG	NC_000913.3	285395	286777	+	1383	964	623	636
yagH	NC_000913.3	286789	288399	+	1611	1254	820	1989
xynR	NC_000913.3	288404	289162	-	759	585	434	3356
argF	NC_000913.3	289301	290305	-	1005	472	570	8305
argL	NC_000913.3	290275	290370	-	96	51	26	9
ykgS	NC_000913.3	290510	290638	+	129	75	46	69
insB3	NC_000913.3	290649	291152	-	504	281	216	211
insA3	NC_000913.3	291071	291346	-	276	99	52	61
yagJ	NC_000913.3	291500	292231	+	732	480	299	143
yagK	NC_000913.3	292322	292948	-	627	187	107	79
yagL	NC_000913.3	293220	293918	-	699	86	69	23
yagM	NC_000913.3	293945	294799	-	855	57	55	9
ykgV	NC_000913.3	294918	295142	-	225	10	5	5
yagN	NC_000913.3	295139	295579	-	441	155	106	81
intF	NC_000913.3	295696	297096	-	1401	815	678	656
yagP	NC_000913.3	297381	297791	-	411	292	146	156
paoD	NC_000913.3	297770	298726	-	957	498	361	171
paoC	NC_000913.3	298736	300934	-	2199	1230	1087	241
paoB	NC_000913.3	300931	301887	-	957	499	390	101
paoA	NC_000913.3	301884	302573	-	690	362	363	70
yagU	NC_000913.3	302991	303605	+	615	349	251	329
ykgJ	NC_000913.3	303853	304182	-	330	208	93	112
ecpE	NC_000913.3	304495	305205	-	711	357	197	119
ecpD	NC_000913.3	305174	306817	-	1644	815	535	318
ecpC	NC_000913.3	306807	309332	-	2526	1186	618	160
ecpB	NC_000913.3	309358	310026	-	669	259	103	19
ecpA	NC_000913.3	310084	310671	-	588	266	153	90
matA	NC_000913.3	310746	311336	-	591	138	76	7
ykgL	NC_000913.3	312112	312339	+	228	112	60	19
ykgO	NC_000913.3	312374	312514	-	141	52	31	11
ykgM	NC_000913.3	312514	312777	-	264	68	64	14
ykgR	NC_000913.3	313141	313242	-	102	43	34	7
ykgP	NC_000913.3	313716	313805	-	90	64	49	10
eaeH	NC_000913.3	314357	315244	+	888	320	156	26
insE1	NC_000913.3	315291	315590	+	300	152	105	82
insF1	NC_000913.3	315587	316453	+	867	603	319	222
ykgA	NC_000913.3	316450	317136	-	687	365	229	36
ykgQ	NC_000913.3	317439	317567	+	129	58	47	9
rclC	NC_000913.3	317726	318319	-	594	349	191	16
rclB	NC_000913.3	318331	318567	-	237	31	17	1
rclA	NC_000913.3	318676	320001	-	1326	791	671	52
rclR	NC_000913.3	320227	321081	+	855	338	230	37
ykgE	NC_000913.3	321608	322327	+	720	223	161	20
ykgF	NC_000913.3	322338	323765	+	1428	781	459	85
ykgG	NC_000913.3	323758	324453	+	696	620	369	54
ykgH	NC_000913.3	324696	325364	-	669	89	60	25
betA	NC_000913.3	325577	327247	-	1671	788	476	972
betB	NC_000913.3	327261	328733	-	1473	999	666	2091
betI	NC_000913.3	328747	329334	-	588	481	289	903
betT	NC_000913.3	329463	331496	+	2034	1490	913	666
yahV	NC_000913.3	331802	331876	+	75	4	14	6
pdeL	NC_000913.3	332371	333459	+	1089	524	331	75
yahB	NC_000913.3	333501	334433	-	933	488	1108	66
yahC	NC_000913.3	334525	335022	-	498	330	1746	19
yahD	NC_000913.3	335280	335885	+	606	311	2643	23
yahE	NC_000913.3	335925	336788	+	864	293	1166	27
yahF	NC_000913.3	336778	338325	+	1548	843	2222	83
yahG	NC_000913.3	338325	339743	+	1419	828	1700	82
yahH	NC_000913.3	339769	340089	+	321	147	235	47
yahI	NC_000913.3	340165	341115	+	951	417	401	76
yahJ	NC_000913.3	341125	342507	+	1383	766	717	647
yahK	NC_000913.3	342884	343933	+	1050	3121	3274	897
yahL	NC_000913.3	344176	344991	+	816	89	78	17
yahM	NC_000913.3	345404	345649	+	246	95	65	19
yahN	NC_000913.3	345666	346337	-	672	484	430	26
yahO	NC_000913.3	346484	346759	+	276	16718	20476	358
prpR	NC_000913.3	346857	348443	-	1587	4015	6392	99
prpB	NC_000913.3	348682	349572	+	891	92681	189101	50
prpC	NC_000913.3	350012	351181	+	1170	47192	87573	58
prpD	NC_000913.3	351215	352666	+	1452	33558	86149	53
prpE	NC_000913.3	352706	354592	+	1887	21055	60808	117
codB	NC_000913.3	354922	356181	+	1260	643	365	81
codA	NC_000913.3	356171	357454	+	1284	502	243	141
cynR	NC_000913.3	357791	358690	-	900	407	166	79
cynT	NC_000913.3	358799	359458	+	660	295	187	58
cynS	NC_000913.3	359489	359959	+	471	135	55	26
cynX	NC_000913.3	359992	361146	+	1155	519	279	84
lacA	NC_000913.3	361249	361860	-	612	224	143	28
lacY	NC_000913.3	361926	363179	-	1254	502	318	36
lacZ	NC_000913.3	363231	366305	-	3075	1466	689	110
lacI	NC_000913.3	366428	367510	-	1083	1113	917	26382
mhpR	NC_000913.3	367587	368420	-	834	2101	1971	86
mhpA	NC_000913.3	368611	370275	+	1665	935	446	57
mhpB	NC_000913.3	370277	371221	+	945	387	185	33
mhpC	NC_000913.3	371239	372105	+	867	440	192	36
mhpD	NC_000913.3	372115	372924	+	810	432	202	39
mhpF	NC_000913.3	372921	373871	+	951	340	153	37
mhpE	NC_000913.3	373868	374881	+	1014	624	303	56
mhpT	NC_000913.3	375459	376670	+	1212	602	371	133
yaiL	NC_000913.3	376772	377311	+	540	580	406	164
frmB	NC_000913.3	377535	378368	-	834	426	260	144
frmA	NC_000913.3	378462	379571	-	1110	1175	898	230
frmR	NC_000913.3	379606	379881	-	276	309	211	60
yaiO	NC_000913.3	380069	380842	-	774	415	236	88
yaiX	NC_000913.3	380844	382872	-	2029	182	104	25
insC1	NC_000913.3	381351	381716	+	366	0	0	0
insD1	NC_000913.3	381674	382579	+	906	0	0	0
yaiP	NC_000913.3	382739	383935	-	1197	315	192	68
ykiC	NC_000913.3	383960	384079	+	120	5	1	0
yaiS	NC_000913.3	384059	384616	-	558	88	35	11
tauA	NC_000913.3	385232	386194	+	963	588	298	59
tauB	NC_000913.3	386207	386974	+	768	445	184	45
tauC	NC_000913.3	386971	387798	+	828	332	197	65
tauD	NC_000913.3	387795	388646	+	852	360	173	86
hemB	NC_000913.3	388753	389727	-	975	791	565	672
yaiT	NC_000913.3	390251	394418	+	4168	520	353	341
ytiB	NC_000913.3	391592	391648	-	57	0	0	0
insF2	NC_000913.3	391739	392605	-	867	0	0	0
insE2	NC_000913.3	392602	392901	-	300	0	0	0
iprA	NC_000913.3	394506	395129	+	624	106	77	22
ampH	NC_000913.3	395130	396287	-	1158	1944	1760	404
sbmA	NC_000913.3	396639	397859	+	1221	728	566	391
yaiW	NC_000913.3	397872	398966	+	1095	744	509	380
yaiY	NC_000913.3	399025	399333	-	309	260	226	81
yaiZ	NC_000913.3	399593	399805	+	213	384	411	47
ddlA	NC_000913.3	399829	400923	-	1095	837	734	398
iraP	NC_000913.3	401386	401646	+	261	397	636	162
phoA	NC_000913.3	401747	403162	+	1416	614	397	168
psiF	NC_000913.3	403281	403601	+	321	2143	2561	148
dgcC	NC_000913.3	403703	404818	+	1116	562	320	122
proC	NC_000913.3	404835	405644	-	810	596	380	140
yaiI	NC_000913.3	405764	406222	+	459	218	188	279
aroL	NC_000913.3	406405	406929	+	525	311	203	1116
yaiA	NC_000913.3	406979	407170	+	192	815	817	523
aroM	NC_000913.3	407428	408105	+	678	1005	1033	650
ppnP	NC_000913.3	408177	408461	+	285	615	610	243
ykiA	NC_000913.3	408609	408950	+	342	273	302	116
ykiD	NC_000913.3	408947	409030	+	84	73	46	23
rdgC	NC_000913.3	409108	410019	-	912	624	369	152
mak	NC_000913.3	410144	411052	+	909	724	643	140
araJ	NC_000913.3	411297	412481	-	1185	732	487	247
sbcC	NC_000913.3	412607	415753	-	3147	1253	692	238
sbcD	NC_000913.3	415750	416952	-	1203	527	368	223
phoB	NC_000913.3	417142	417831	+	690	692	454	212
phoR	NC_000913.3	417889	419184	+	1296	613	378	244
brnQ	NC_000913.3	419591	420910	+	1320	1757	1645	1749
proY	NC_000913.3	420986	422359	+	1374	1057	920	739
malZ	NC_000913.3	422518	424332	+	1815	815	441	391
acpH	NC_000913.3	424337	424918	-	582	331	239	165
queA	NC_000913.3	425011	426081	+	1071	601	280	416
tgt	NC_000913.3	426137	427264	+	1128	552	460	483
yajC	NC_000913.3	427287	427619	+	333	667	654	420
secD	NC_000913.3	427647	429494	+	1848	1110	852	1180
secF	NC_000913.3	429505	430476	+	972	789	627	941
yajD	NC_000913.3	430605	430952	+	348	291	206	86
tsx	NC_000913.3	431129	432013	-	885	1131	1187	137
yajI	NC_000913.3	432312	432851	-	540	378	231	60
nrdR	NC_000913.3	433002	433451	+	450	499	390	482
ribD	NC_000913.3	433455	434558	+	1104	1089	713	1181
ribE	NC_000913.3	434647	435117	+	471	546	387	522
nusB	NC_000913.3	435137	435556	+	420	385	279	842
thiL	NC_000913.3	435634	436611	+	978	476	271	478
pgpA	NC_000913.3	436589	437107	+	519	773	807	706
yajO	NC_000913.3	437161	438135	-	975	8361	10734	1226
dxs	NC_000913.3	438315	440177	-	1863	1373	970	927
ispA	NC_000913.3	440202	441101	-	900	518	379	355
xseB	NC_000913.3	441101	441343	-	243	330	278	160
thiI	NC_000913.3	441549	442997	+	1449	859	499	1011
yajL	NC_000913.3	443051	443641	-	591	493	448	306
panE	NC_000913.3	443604	444515	-	912	793	734	416
yajQ	NC_000913.3	444683	445174	+	492	1229	1584	414
yajR	NC_000913.3	445302	446666	-	1365	587	348	172
cyoE	NC_000913.3	446815	447705	-	891	4747	6776	600
cyoD	NC_000913.3	447717	448046	-	330	2010	2512	182
cyoC	NC_000913.3	448046	448660	-	615	2343	3208	234
cyoB	NC_000913.3	448650	450641	-	1992	8278	10551	972
cyoA	NC_000913.3	450663	451610	-	948	6811	7939	443
ampG	NC_000913.3	452070	453545	-	1476	793	434	80
yajG	NC_000913.3	453589	454167	-	579	533	323	48
bolA	NC_000913.3	454472	454789	+	318	15596	14327	315
tig	NC_000913.3	455133	456431	+	1299	3074	3015	713
clpP	NC_000913.3	456677	457300	+	624	4015	6065	1509
clpX	NC_000913.3	457426	458700	+	1275	12273	16227	4386
