Geneid	Chr	Start	End	Strand	Length
apaG	NC_000913.3	51229	51606	-	378
rsmA	NC_000913.3	51609	52430	-	822
pdxA	NC_000913.3	52427	53416	-	990
surA	NC_000913.3	53416	54702	-	1287
lptD	NC_000913.3	54755	57109	-	2355
djlA	NC_000913.3	57364	58179	+	816
yabP	NC_000913.3	58474	59124	+	651
yabQ	NC_000913.3	59121	59279	+	159
rluA	NC_000913.3	59687	60346	-	660
rapA	NC_000913.3	60358	63264	-	2907
polB	NC_000913.3	63429	65780	-	2352
araD	NC_000913.3	65855	66550	-	696
araA	NC_000913.3	66835	68337	-	1503
araB	NC_000913.3	68348	70048	-	1701
araC	NC_000913.3	70387	71265	+	879
yabI	NC_000913.3	71351	72115	+	765
thiQ	NC_000913.3	72229	72927	-	699
thiP	NC_000913.3	72911	74521	-	1611
thiB	NC_000913.3	74497	75480	-	984
sroA	NC_000913.3	75516	75608	-	93
sgrR	NC_000913.3	75644	77299	-	1656
sgrS	NC_000913.3	77367	77593	+	227
sgrT	NC_000913.3	77388	77519	+	132
setA	NC_000913.3	77621	78799	+	1179
leuD	NC_000913.3	78848	79453	-	606
leuC	NC_000913.3	79464	80864	-	1401
leuB	NC_000913.3	80867	81958	-	1092
leuA	NC_000913.3	81958	83529	-	1572
leuL	NC_000913.3	83622	83708	-	87
leuO	NC_000913.3	84368	85312	+	945
yabR	NC_000913.3	85467	85511	-	45
ilvI	NC_000913.3	85630	87354	+	1725
ilvH	NC_000913.3	87357	87848	+	492
cra	NC_000913.3	88028	89032	+	1005
mraZ	NC_000913.3	89634	90092	+	459
rsmH	NC_000913.3	90094	91035	+	942
ftsL	NC_000913.3	91032	91397	+	366
ftsI	NC_000913.3	91413	93179	+	1767
ftsO	NC_000913.3	92485	92658	+	174
murE	NC_000913.3	93166	94653	+	1488
murF	NC_000913.3	94650	96008	+	1359
mraY	NC_000913.3	96002	97084	+	1083
murD	NC_000913.3	97087	98403	+	1317
ftsW	NC_000913.3	98403	99647	+	1245
murG	NC_000913.3	99644	100711	+	1068
murC	NC_000913.3	100765	102240	+	1476
ddlB	NC_000913.3	102233	103153	+	921
ftsQ	NC_000913.3	103155	103985	+	831
ftsA	NC_000913.3	103982	105244	+	1263
ftsZ	NC_000913.3	105305	106456	+	1152
lpxC	NC_000913.3	106557	107474	+	918
secM	NC_000913.3	107705	108217	+	513
secA	NC_000913.3	108279	110984	+	2706
mutT	NC_000913.3	111044	111433	+	390
yacG	NC_000913.3	111649	111846	-	198
zapD	NC_000913.3	111856	112599	-	744
coaE	NC_000913.3	112599	113219	-	621
yacM	NC_000913.3	113244	113288	+	45
guaC	NC_000913.3	113444	114487	+	1044
hofC	NC_000913.3	114522	115724	-	1203
hofB	NC_000913.3	115714	117099	-	1386
ppdD	NC_000913.3	117109	117549	-	441
nadC	NC_000913.3	117752	118645	-	894
ampD	NC_000913.3	118733	119284	+	552
ampE	NC_000913.3	119281	120135	+	855
aroP	NC_000913.3	120178	121551	-	1374
pdhR	NC_000913.3	122092	122856	+	765
aceE	NC_000913.3	123017	125680	+	2664
aceF	NC_000913.3	125695	127587	+	1893
lpd	NC_000913.3	127912	129336	+	1425
yacH	NC_000913.3	129407	131260	-	1854
acnB	NC_000913.3	131615	134212	+	2598
yacL	NC_000913.3	134388	134750	+	363
speD	NC_000913.3	134788	135582	-	795
speE	NC_000913.3	135598	136464	-	867
yacC	NC_000913.3	136570	136917	-	348
cueO	NC_000913.3	137083	138633	+	1551
gcd	NC_000913.3	138835	141225	-	2391
hpt	NC_000913.3	141431	141967	+	537
can	NC_000913.3	142008	142670	-	663
yadG	NC_000913.3	142779	143705	+	927
yadH	NC_000913.3	143702	144472	+	771
yadI	NC_000913.3	144577	145017	+	441
yadE	NC_000913.3	145081	146310	+	1230
panD	NC_000913.3	146314	146694	-	381
rpnC	NC_000913.3	146968	147870	+	903
panC	NC_000913.3	147944	148795	-	852
panB	NC_000913.3	148807	149601	-	795
yadC	NC_000913.3	149715	150953	-	1239
yadK	NC_000913.3	151003	151599	-	597
yadL	NC_000913.3	151626	152231	-	606
yadM	NC_000913.3	152243	152812	-	570
htrE	NC_000913.3	152829	155426	-	2598
yadV	NC_000913.3	155461	156201	-	741
yadN	NC_000913.3	156299	156883	-	585
folK	NC_000913.3	157253	157732	-	480
pcnB	NC_000913.3	157729	159126	-	1398
gluQ	NC_000913.3	159186	160112	-	927
dksA	NC_000913.3	160149	160604	-	456
sfsA	NC_000913.3	160782	161486	-	705
thpR	NC_000913.3	161501	162031	-	531
hrpB	NC_000913.3	162105	164534	+	2430
mrcB	NC_000913.3	164730	167264	+	2535
fhuA	NC_000913.3	167484	169727	+	2244
fhuC	NC_000913.3	169778	170575	+	798
fhuD	NC_000913.3	170575	171465	+	891
fhuB	NC_000913.3	171462	173444	+	1983
hemL	NC_000913.3	173602	174882	-	1281
yadX	NC_000913.3	175048	175095	+	48
clcA	NC_000913.3	175107	176528	+	1422
yadW	NC_000913.3	176552	176617	+	66
erpA	NC_000913.3	176610	176954	+	345
yadS	NC_000913.3	177001	177624	-	624
btuF	NC_000913.3	177662	178462	-	801
mtn	NC_000913.3	178455	179153	-	699
dgt	NC_000913.3	179237	180754	+	1518
degP	NC_000913.3	180884	182308	+	1425
cdaR	NC_000913.3	182463	183620	+	1158
yaeH	NC_000913.3	183709	184095	-	387
yaeI	NC_000913.3	184257	185069	-	813
dapD	NC_000913.3	185123	185947	-	825
glnD	NC_000913.3	185978	188650	-	2673
map	NC_000913.3	188712	189506	-	795
tff	NC_000913.3	189712	189847	+	136
rpsB	NC_000913.3	189874	190599	+	726
tsf	NC_000913.3	190857	191708	+	852
pyrH	NC_000913.3	191855	192580	+	726
frr	NC_000913.3	192872	193429	+	558
dxr	NC_000913.3	193521	194717	+	1197
ispZ	NC_000913.3	194784	194844	+	61
ispU	NC_000913.3	194903	195664	+	762
cdsA	NC_000913.3	195677	196534	+	858
rseP	NC_000913.3	196546	197898	+	1353
bamA	NC_000913.3	197928	200360	+	2433
skp	NC_000913.3	200482	200967	+	486
lpxD	NC_000913.3	200971	201996	+	1026
fabZ	NC_000913.3	202101	202556	+	456
lpxA	NC_000913.3	202560	203348	+	789
lpxB	NC_000913.3	203348	204496	+	1149
rnhB	NC_000913.3	204493	205089	+	597
dnaE	NC_000913.3	205126	208608	+	3483
accA	NC_000913.3	208621	209580	+	960
ldcC	NC_000913.3	209679	211820	+	2142
yaeR	NC_000913.3	211877	212266	+	390
tilS	NC_000913.3	212331	213629	+	1299
rof	NC_000913.3	213678	213932	-	255
yaeP	NC_000913.3	213925	214125	-	201
yaeQ	NC_000913.3	214291	214836	+	546
arfB	NC_000913.3	214833	215255	+	423
nlpE	NC_000913.3	215269	215979	+	711
yaeF	NC_000913.3	216179	217003	-	825
proS	NC_000913.3	217057	218775	-	1719
trmO	NC_000913.3	218887	219594	-	708
rcsF	NC_000913.3	219591	219995	-	405
metQ	NC_000913.3	220113	220928	-	816
metI	NC_000913.3	220968	221621	-	654
metN	NC_000913.3	221614	222645	-	1032
gmhB	NC_000913.3	222833	223408	+	576
rrsH	NC_000913.3	223771	225312	+	1542
ileV	NC_000913.3	225381	225457	+	77
alaV	NC_000913.3	225500	225575	+	76
rrlH	NC_000913.3	225759	228662	+	2904
rrfH	NC_000913.3	228756	228875	+	120
aspU	NC_000913.3	228928	229004	+	77
dkgB	NC_000913.3	229167	229970	+	804
yafC	NC_000913.3	229967	230881	-	915
yafD	NC_000913.3	231122	231922	+	801
yafE	NC_000913.3	231926	232549	+	624
mltD	NC_000913.3	232597	233955	-	1359
gloB	NC_000913.3	234027	234782	-	756
ykfO	NC_000913.3	234288	234320	+	33
yafS	NC_000913.3	234816	235538	+	723
rnhA	NC_000913.3	235535	236002	-	468
dnaQ	NC_000913.3	236067	236798	+	732
aspV	NC_000913.3	236931	237007	+	77
yafT	NC_000913.3	237335	238120	+	786
ykfM	NC_000913.3	238257	238736	-	480
yafU	NC_000913.3	238746	239084	-	339
yafF	NC_000913.3	239190	239378	+	189
yafV	NC_000913.3	239419	240189	-	771
ivy	NC_000913.3	240343	240816	+	474
fadE	NC_000913.3	240859	243303	-	2445
gmhA	NC_000913.3	243543	244121	+	579
yafJ	NC_000913.3	244327	245094	+	768
dpaA	NC_000913.3	245065	245805	-	741
yafQ	NC_000913.3	245961	246239	-	279
dinJ	NC_000913.3	246242	246502	-	261
yafL	NC_000913.3	246712	247461	+	750
rayT	NC_000913.3	247637	248134	+	498
lfhA	NC_000913.3	248358	250070	-	1713
lafU	NC_000913.3	250072	250827	+	756
dinB	NC_000913.3	250898	251953	+	1056
yafN	NC_000913.3	252005	252298	+	294
yafO	NC_000913.3	252301	252699	+	399
yafP	NC_000913.3	252709	253161	+	453
ykfJ	NC_000913.3	253467	253733	+	267
prfH	NC_000913.3	253702	254202	+	501
pepD	NC_000913.3	254259	255716	-	1458
gpt	NC_000913.3	255977	256435	+	459
frsA	NC_000913.3	256527	257771	+	1245
crl	NC_000913.3	257829	259006	+	1178
insB9	NC_000913.3	257923	258426	-	504
insA9	NC_000913.3	258345	258620	-	276
phoE	NC_000913.3	259045	260100	-	1056
proB	NC_000913.3	260388	261491	+	1104
proA	NC_000913.3	261503	262756	+	1254
thrW	NC_000913.3	262871	262946	+	76
ykfN	NC_000913.3	263150	263212	-	63
ykfI	NC_000913.3	263328	263669	-	342
yafW	NC_000913.3	263690	264007	-	318
ykfH	NC_000913.3	264026	264247	-	222
ykfG	NC_000913.3	264256	264732	-	477
yafX	NC_000913.3	264748	265206	-	459
ykfF	NC_000913.3	265304	265543	-	240
ykfB	NC_000913.3	265620	266087	-	468
yafY	NC_000913.3	266110	266553	-	444
ykfL	NC_000913.3	266553	266774	-	222
ykfK	NC_000913.3	266776	266967	-	192
yafZ	NC_000913.3	267184	268005	-	822
ykfA	NC_000913.3	268097	268960	-	864
perR	NC_000913.3	269289	270182	-	894
insN	NC_000913.3	270278	272190	+	1913
insI1	NC_000913.3	270603	271754	+	1152
eyeA	NC_000913.3	272580	272654	+	75
ykfC	NC_000913.3	272847	273992	+	1146
insH1	NC_000913.3	274101	275081	-	981
mmuP	NC_000913.3	275325	276728	+	1404
mmuM	NC_000913.3	276715	277647	+	933
afuC	NC_000913.3	277756	278802	-	1047
afuB	NC_000913.3	278814	279162	-	349
insB2	NC_000913.3	279178	279681	-	504
insA2	NC_000913.3	279600	279875	-	276
insI2	NC_000913.3;NC_000913.3	279931;1469358	280104;1470509	+;+	1326
insX	NC_000913.3	280114	280362	-	249
yagB	NC_000913.3	280385	280735	-	351
yagA	NC_000913.3	280829	281983	-	1155
yagE	NC_000913.3	282278	283186	+	909
yagF	NC_000913.3	283201	285168	+	1968
yagG	NC_000913.3	285395	286777	+	1383
yagH	NC_000913.3	286789	288399	+	1611
xynR	NC_000913.3	288404	289162	-	759
argF	NC_000913.3	289301	290305	-	1005
argL	NC_000913.3	290275	290370	-	96
ykgS	NC_000913.3	290510	290638	+	129
insB3	NC_000913.3	290649	291152	-	504
insA3	NC_000913.3	291071	291346	-	276
yagJ	NC_000913.3	291500	292231	+	732
yagK	NC_000913.3	292322	292948	-	627
yagL	NC_000913.3	293220	293918	-	699
yagM	NC_000913.3	293945	294799	-	855
ykgV	NC_000913.3	294918	295142	-	225
yagN	NC_000913.3	295139	295579	-	441
intF	NC_000913.3	295696	297096	-	1401
yagP	NC_000913.3	297381	297791	-	411
paoD	NC_000913.3	297770	298726	-	957
paoC	NC_000913.3	298736	300934	-	2199
paoB	NC_000913.3	300931	301887	-	957
paoA	NC_000913.3	301884	302573	-	690
yagU	NC_000913.3	302991	303605	+	615
ykgJ	NC_000913.3	303853	304182	-	330
ecpE	NC_000913.3	304495	305205	-	711
ecpD	NC_000913.3	305174	306817	-	1644
ecpC	NC_000913.3	306807	309332	-	2526
ecpB	NC_000913.3	309358	310026	-	669
ecpA	NC_000913.3	310084	310671	-	588
matA	NC_000913.3	310746	311336	-	591
ykgL	NC_000913.3	312112	312339	+	228
ykgO	NC_000913.3	312374	312514	-	141
ykgM	NC_000913.3	312514	312777	-	264
ykgR	NC_000913.3	313141	313242	-	102
ykgP	NC_000913.3	313716	313805	-	90
eaeH	NC_000913.3	314357	315244	+	888
insE1	NC_000913.3	315291	315590	+	300
insF1	NC_000913.3	315587	316453	+	867
ykgA	NC_000913.3	316450	317136	-	687
ykgQ	NC_000913.3	317439	317567	+	129
rclC	NC_000913.3	317726	318319	-	594
rclB	NC_000913.3	318331	318567	-	237
rclA	NC_000913.3	318676	320001	-	1326
rclR	NC_000913.3	320227	321081	+	855
ykgE	NC_000913.3	321608	322327	+	720
ykgF	NC_000913.3	322338	323765	+	1428
ykgG	NC_000913.3	323758	324453	+	696
ykgH	NC_000913.3	324696	325364	-	669
betA	NC_000913.3	325577	327247	-	1671
betB	NC_000913.3	327261	328733	-	1473
betI	NC_000913.3	328747	329334	-	588
betT	NC_000913.3	329463	331496	+	2034
yahV	NC_000913.3	331802	331876	+	75
pdeL	NC_000913.3	332371	333459	+	1089
yahB	NC_000913.3	333501	334433	-	933
yahC	NC_000913.3	334525	335022	-	498
yahD	NC_000913.3	335280	335885	+	606
yahE	NC_000913.3	335925	336788	+	864
yahF	NC_000913.3	336778	338325	+	1548
yahG	NC_000913.3	338325	339743	+	1419
yahH	NC_000913.3	339769	340089	+	321
yahI	NC_000913.3	340165	341115	+	951
yahJ	NC_000913.3	341125	342507	+	1383
yahK	NC_000913.3	342884	343933	+	1050
yahL	NC_000913.3	344176	344991	+	816
yahM	NC_000913.3	345404	345649	+	246
yahN	NC_000913.3	345666	346337	-	672
yahO	NC_000913.3	346484	346759	+	276
prpR	NC_000913.3	346857	348443	-	1587
prpB	NC_000913.3	348682	349572	+	891
prpC	NC_000913.3	350012	351181	+	1170
prpD	NC_000913.3	351215	352666	+	1452
prpE	NC_000913.3	352706	354592	+	1887
codB	NC_000913.3	354922	356181	+	1260
codA	NC_000913.3	356171	357454	+	1284
cynR	NC_000913.3	357791	358690	-	900
cynT	NC_000913.3	358799	359458	+	660
cynS	NC_000913.3	359489	359959	+	471
cynX	NC_000913.3	359992	361146	+	1155
lacA	NC_000913.3	361249	361860	-	612
lacY	NC_000913.3	361926	363179	-	1254
lacZ	NC_000913.3	363231	366305	-	3075
lacI	NC_000913.3	366428	367510	-	1083
mhpR	NC_000913.3	367587	368420	-	834
mhpA	NC_000913.3	368611	370275	+	1665
mhpB	NC_000913.3	370277	371221	+	945
mhpC	NC_000913.3	371239	372105	+	867
mhpD	NC_000913.3	372115	372924	+	810
mhpF	NC_000913.3	372921	373871	+	951
mhpE	NC_000913.3	373868	374881	+	1014
mhpT	NC_000913.3	375459	376670	+	1212
yaiL	NC_000913.3	376772	377311	+	540
frmB	NC_000913.3	377535	378368	-	834
frmA	NC_000913.3	378462	379571	-	1110
frmR	NC_000913.3	379606	379881	-	276
yaiO	NC_000913.3	380069	380842	-	774
yaiX	NC_000913.3	380844	382872	-	2029
insC1	NC_000913.3	381351	381716	+	366
insD1	NC_000913.3	381674	382579	+	906
yaiP	NC_000913.3	382739	383935	-	1197
ykiC	NC_000913.3	383960	384079	+	120
yaiS	NC_000913.3	384059	384616	-	558
tauA	NC_000913.3	385232	386194	+	963
tauB	NC_000913.3	386207	386974	+	768
tauC	NC_000913.3	386971	387798	+	828
tauD	NC_000913.3	387795	388646	+	852
hemB	NC_000913.3	388753	389727	-	975
yaiT	NC_000913.3	390251	394418	+	4168
ytiB	NC_000913.3	391592	391648	-	57
insF2	NC_000913.3	391739	392605	-	867
insE2	NC_000913.3	392602	392901	-	300
iprA	NC_000913.3	394506	395129	+	624
ampH	NC_000913.3	395130	396287	-	1158
sbmA	NC_000913.3	396639	397859	+	1221
yaiW	NC_000913.3	397872	398966	+	1095
yaiY	NC_000913.3	399025	399333	-	309
yaiZ	NC_000913.3	399593	399805	+	213
ddlA	NC_000913.3	399829	400923	-	1095
iraP	NC_000913.3	401386	401646	+	261
phoA	NC_000913.3	401747	403162	+	1416
psiF	NC_000913.3	403281	403601	+	321
dgcC	NC_000913.3	403703	404818	+	1116
proC	NC_000913.3	404835	405644	-	810
yaiI	NC_000913.3	405764	406222	+	459
aroL	NC_000913.3	406405	406929	+	525
yaiA	NC_000913.3	406979	407170	+	192
aroM	NC_000913.3	407428	408105	+	678
ppnP	NC_000913.3	408177	408461	+	285
ykiA	NC_000913.3	408609	408950	+	342
ykiD	NC_000913.3	408947	409030	+	84
rdgC	NC_000913.3	409108	410019	-	912
mak	NC_000913.3	410144	411052	+	909
araJ	NC_000913.3	411297	412481	-	1185
sbcC	NC_000913.3	412607	415753	-	3147
sbcD	NC_000913.3	415750	416952	-	1203
phoB	NC_000913.3	417142	417831	+	690
phoR	NC_000913.3	417889	419184	+	1296
brnQ	NC_000913.3	419591	420910	+	1320
proY	NC_000913.3	420986	422359	+	1374
malZ	NC_000913.3	422518	424332	+	1815
acpH	NC_000913.3	424337	424918	-	582
queA	NC_000913.3	425011	426081	+	1071
tgt	NC_000913.3	426137	427264	+	1128
yajC	NC_000913.3	427287	427619	+	333
secD	NC_000913.3	427647	429494	+	1848
secF	NC_000913.3	429505	430476	+	972
yajD	NC_000913.3	430605	430952	+	348
tsx	NC_000913.3	431129	432013	-	885
yajI	NC_000913.3	432312	432851	-	540
nrdR	NC_000913.3	433002	433451	+	450
ribD	NC_000913.3	433455	434558	+	1104
ribE	NC_000913.3	434647	435117	+	471
nusB	NC_000913.3	435137	435556	+	420
thiL	NC_000913.3	435634	436611	+	978
pgpA	NC_000913.3	436589	437107	+	519
yajO	NC_000913.3	437161	438135	-	975
dxs	NC_000913.3	438315	440177	-	1863
ispA	NC_000913.3	440202	441101	-	900
xseB	NC_000913.3	441101	441343	-	243
thiI	NC_000913.3	441549	442997	+	1449
yajL	NC_000913.3	443051	443641	-	591
panE	NC_000913.3	443604	444515	-	912
yajQ	NC_000913.3	444683	445174	+	492
yajR	NC_000913.3	445302	446666	-	1365
cyoE	NC_000913.3	446815	447705	-	891
cyoD	NC_000913.3	447717	448046	-	330
cyoC	NC_000913.3	448046	448660	-	615
cyoB	NC_000913.3	448650	450641	-	1992
cyoA	NC_000913.3	450663	451610	-	948
ampG	NC_000913.3	452070	453545	-	1476
yajG	NC_000913.3	453589	454167	-	579
bolA	NC_000913.3	454472	454789	+	318
tig	NC_000913.3	455133	456431	+	1299
clpP	NC_000913.3	456677	457300	+	624
clpX	NC_000913.3	457426	458700	+	1275
lon	NC_000913.3	458888	461242	+	2355
hupB	NC_000913.3	461451	461723	+	273
ppiD	NC_000913.3	461915	463786	+	1872
ybaV	NC_000913.3	463937	464308	+	372
fadM	NC_000913.3	464402	464800	+	399
queC	NC_000913.3	464852	465547	-	696
ybaE	NC_000913.3	465612	467312	-	1701
cof	NC_000913.3	467412	468230	+	819
decR	NC_000913.3	468383	468841	+	459
mdlA	NC_000913.3	468871	470643	+	1773
mdlB	NC_000913.3	470636	472417	+	1782
glnK	NC_000913.3	472598	472936	+	339
amtB	NC_000913.3	472966	474252	+	1287
tesB	NC_000913.3	474301	475161	-	861
ybaY	NC_000913.3	475379	475951	+	573
ybaZ	NC_000913.3	475982	476371	-	390
ffs	NC_000913.3	476448	476561	+	114
ybaA	NC_000913.3	476672	477025	+	354
pdeB	NC_000913.3	477067	478617	-	1551
ylaC	NC_000913.3	478781	479251	-	471
maa	NC_000913.3	479367	479918	-	552
hha	NC_000913.3	480090	480308	-	219
tomB	NC_000913.3	480334	480708	-	375
acrB	NC_000913.3	481254	484403	-	3150
acrA	NC_000913.3	484426	485619	-	1194
acrR	NC_000913.3	485761	486408	+	648
mscK	NC_000913.3	486536	489898	+	3363
ybaM	NC_000913.3	490110	490271	-	162
priC	NC_000913.3	490285	490812	-	528
ybaN	NC_000913.3	490882	491259	+	378
apt	NC_000913.3	491412	491963	+	552
dnaX	NC_000913.3	492092	494023	+	1932
ybaB	NC_000913.3	494076	494405	+	330
recR	NC_000913.3	494405	495010	+	606
htpG	NC_000913.3	495120	496994	+	1875
adk	NC_000913.3	497175	497819	+	645
hemH	NC_000913.3	498055	499017	+	963
aes	NC_000913.3	499014	499973	-	960
gsk	NC_000913.3	500125	501429	+	1305
ybaL	NC_000913.3	501562	503238	-	1677
fsr	NC_000913.3	503476	504696	-	1221
ushA	NC_000913.3	504914	506566	+	1653
ybaK	NC_000913.3	506603	507082	-	480
chiX	NC_000913.3	507204	507287	+	84
ybaP	NC_000913.3	507286	508080	-	795
ybaQ	NC_000913.3	508218	508559	+	342
copA	NC_000913.3	508875	511379	-	2505
glsA	NC_000913.3	511641	512573	+	933
ybaT	NC_000913.3	512576	513868	+	1293
cueR	NC_000913.3	513993	514400	+	408
ybbJ	NC_000913.3	514401	514859	-	459
qmcA	NC_000913.3	514856	515773	-	918
fetA	NC_000913.3	515919	516596	+	678
fetB	NC_000913.3	516583	517362	+	780
cnoX	NC_000913.3	517425	518279	-	855
ybbO	NC_000913.3	518340	519149	-	810
tesA	NC_000913.3	519139	519765	-	627
ybbA	NC_000913.3	519733	520419	+	687
ybbP	NC_000913.3	520416	522830	+	2415
rhsD	NC_000913.3	523261	527541	+	4281
ybbC	NC_000913.3	527581	527949	+	369
ylbH	NC_000913.3	527949	528659	+	711
ybbD	NC_000913.3	528640	529130	+	491
ylbI	NC_000913.3	529497	529592	+	96
ylbG	NC_000913.3	529645	530016	-	372
selU	NC_000913.3	530132	531226	-	1095
allS	NC_000913.3	531295	532221	-	927
allA	NC_000913.3	532451	532933	+	483
allR	NC_000913.3	533011	533826	+	816
allZ	NC_000913.3	533629	533863	+	235
gcl	NC_000913.3	533916	535697	+	1782
hyi	NC_000913.3	535710	536486	+	777
glxR	NC_000913.3	536586	537464	+	879
ybbW	NC_000913.3	537633	539087	+	1455
allB	NC_000913.3	539147	540508	+	1362
ybbY	NC_000913.3	540565	541866	+	1302
glxK	NC_000913.3	541888	543033	+	1146
allE	NC_000913.3	543261	544046	-	786
allC	NC_000913.3	544057	545292	-	1236
allD	NC_000913.3	545314	546363	-	1050
fdrA	NC_000913.3	546680	548347	+	1668
ylbE	NC_000913.3	548357	549616	+	1260
ylbF	NC_000913.3	549627	550442	+	816
ybcF	NC_000913.3	550439	551332	+	894
purK	NC_000913.3	551527	552594	-	1068
purE	NC_000913.3	552591	553100	-	510
lpxH	NC_000913.3	553218	553940	-	723
ppiB	NC_000913.3	553943	554437	-	495
cysS	NC_000913.3	554611	555996	+	1386
ybcI	NC_000913.3	556032	556553	-	522
ybcJ	NC_000913.3	556661	556873	-	213
folD	NC_000913.3	556875	557741	-	867
sfmA	NC_000913.3	558212	558754	+	543
sfmC	NC_000913.3	558974	559666	+	693
sfmD	NC_000913.3	559697	562300	+	2604
sfmH	NC_000913.3	562336	563319	+	984
sfmF	NC_000913.3	563330	563845	+	516
fimZ	NC_000913.3	563848	564480	-	633
argU	NC_000913.3	564723	564799	+	77
intD	NC_000913.3	564815	565978	-	1164
xisD	NC_000913.3	565858	566079	-	222
exoD	NC_000913.3	566098	566361	-	264
peaD	NC_000913.3	566376	566687	+	312
renD	NC_000913.3	566684	568247	+	1564
insE3	NC_000913.3	566842	567141	+	300
insF3	NC_000913.3	567138	568004	+	867
emrE	NC_000913.3	568315	568647	+	333
ylcJ	NC_000913.3	568695	568844	+	150
ybcK	NC_000913.3	568902	570428	+	1527
ybcL	NC_000913.3	570893	571444	+	552
ybcM	NC_000913.3	571454	572251	+	798
ylcH	NC_000913.3	572368	572469	+	102
ybcN	NC_000913.3	572466	572921	+	456
ninE	NC_000913.3	572921	573091	+	171
ybcO	NC_000913.3	573084	573374	+	291
rusA	NC_000913.3	573371	573733	+	363
ylcG	NC_000913.3	573730	573870	+	141
quuD	NC_000913.3	573956	574339	+	384
nmpC	NC_000913.3	574529	576825	-	2297
insH2	NC_000913.3	574737	575717	-	981
essD	NC_000913.3	577398	577613	+	216
rrrD	NC_000913.3	577613	578110	+	498
rzpD	NC_000913.3	578107	578568	+	462
rzoD	NC_000913.3	578327	578509	+	183
borD	NC_000913.3	578600	578893	-	294
ybcV	NC_000913.3	579184	579594	-	411
ybcW	NC_000913.3	579880	580086	+	207
ylcI	NC_000913.3	580251	580445	-	195
nohD	NC_000913.3	580834	581379	+	546
aaaD	NC_000913.3	581354	581662	+	309
tfaD	NC_000913.3	581534	582097	+	564
ybcY	NC_000913.3	582152	582806	-	655
tfaX	NC_000913.3	582875	583060	+	186
appY	NC_000913.3	583681	584430	+	750
ompT	NC_000913.3	584680	585633	-	954
envY	NC_000913.3	586147	586908	-	762
ybcH	NC_000913.3	587091	587981	-	891
nfrA	NC_000913.3	587982	590954	-	2973
nfrB	NC_000913.3	590941	593178	-	2238
cusS	NC_000913.3	593328	594770	-	1443
cusR	NC_000913.3	594760	595443	-	684
cusC	NC_000913.3	595600	596973	+	1374
cusF	NC_000913.3	597131	597463	+	333
cusB	NC_000913.3	597479	598702	+	1224
cusA	NC_000913.3	598714	601857	+	3144
pheP	NC_000913.3	601959	603335	+	1377
ybdG	NC_000913.3	603416	604663	-	1248
nfsB	NC_000913.3	604771	605424	-	654
ybdF	NC_000913.3	605518	605886	-	369
ybdJ	NC_000913.3	605951	606199	-	249
ybdK	NC_000913.3	606265	607383	-	1119
sokE	NC_000913.3	607733	607792	-	60
hokE	NC_000913.3	607836	607988	+	153
insL2	NC_000913.3	608065	609177	+	1113
entD	NC_000913.3	609459	610079	-	621
fepA	NC_000913.3	610254	612494	-	2241
